node_l,node_r,trial_timestamp,response_timestamp,response_delay,rot,response_key,response,accuracy
6,9,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
6,9,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,-1,-1,-1,-1
6,9,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,0,-1,-1,-1
6,9,-1,-1,0,1,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,0,-1,-1,-1
6,9,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,1,-1,-1,-1
1,2,-1,-1,0,1,-1,-1,-1
5,4,-1,-1,0,1,-1,-1,-1
6,9,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,-1,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,-1,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
6,9,-1,-1,0,0,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
6,9,-1,-1,0,1,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
5,4,-1,-1,0,0,-1,-1,-1
1,2,-1,-1,0,-1,-1,-1,-1
3,11,-1,-1,0,0,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,-1,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,1,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,-1,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,-1,-1,-1,-1
3,6,-1,-1,0,1,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
2,4,-1,-1,0,0,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,0,-1,-1,-1
3,6,-1,-1,0,1,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,0,-1,-1,-1
9,8,-1,-1,0,-1,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
9,8,-1,-1,0,0,-1,-1,-1
12,11,-1,-1,0,0,-1,-1,-1
3,6,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,1,-1,-1,-1
9,10,-1,-1,0,-1,-1,-1,-1
2,3,-1,-1,0,1,-1,-1,-1
9,10,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,-1,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,-1,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,0,-1,-1,-1
9,10,-1,-1,0,-1,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
7,8,-1,-1,0,-1,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
12,4,-1,-1,0,0,-1,-1,-1
2,3,-1,-1,0,0,-1,-1,-1
11,9,-1,-1,0,0,-1,-1,-1
6,7,-1,-1,0,0,-1,-1,-1
8,10,-1,-1,0,0,-1,-1,-1
3,4,-1,-1,0,0,-1,-1,-1
11,9,-1,-1,0,0,-1,-1,-1
8,10,-1,-1,0,0,-1,-1,-1
