node_l,node_c,node_r,dist_l,dist_r,trial_timestamp,choice_timestamp,response_timestamp,response_delay,response_key,response,accuracy
2,9,5,3,4,-1,-1,-1,0,-1,-1,-1
8,1,3,5,2,-1,-1,-1,0,-1,-1,-1
9,1,8,4,5,-1,-1,-1,0,-1,-1,-1
5,8,6,5,2,-1,-1,-1,0,-1,-1,-1
7,11,2,3,2,-1,-1,-1,0,-1,-1,-1
4,10,11,4,2,-1,-1,-1,0,-1,-1,-1
8,5,9,5,4,-1,-1,-1,0,-1,-1,-1
12,7,4,4,3,-1,-1,-1,0,-1,-1,-1
10,1,4,5,2,-1,-1,-1,0,-1,-1,-1
8,1,4,5,2,-1,-1,-1,0,-1,-1,-1
12,1,10,3,5,-1,-1,-1,0,-1,-1,-1
1,7,3,4,2,-1,-1,-1,0,-1,-1,-1
8,1,11,5,3,-1,-1,-1,0,-1,-1,-1
6,8,4,2,4,-1,-1,-1,0,-1,-1,-1
12,9,2,2,3,-1,-1,-1,0,-1,-1,-1
10,5,9,5,4,-1,-1,-1,0,-1,-1,-1
2,8,5,4,5,-1,-1,-1,0,-1,-1,-1
10,5,11,5,3,-1,-1,-1,0,-1,-1,-1
7,1,5,4,3,-1,-1,-1,0,-1,-1,-1
12,5,10,2,5,-1,-1,-1,0,-1,-1,-1
1,5,9,3,4,-1,-1,-1,0,-1,-1,-1
1,5,10,3,5,-1,-1,-1,0,-1,-1,-1
5,10,12,5,3,-1,-1,-1,0,-1,-1,-1
1,11,6,3,2,-1,-1,-1,0,-1,-1,-1
4,9,5,3,4,-1,-1,-1,0,-1,-1,-1
8,5,1,5,3,-1,-1,-1,0,-1,-1,-1
7,4,1,3,2,-1,-1,-1,0,-1,-1,-1
5,8,11,5,2,-1,-1,-1,0,-1,-1,-1
7,1,8,4,5,-1,-1,-1,0,-1,-1,-1
3,8,2,3,4,-1,-1,-1,0,-1,-1,-1
3,7,12,2,4,-1,-1,-1,0,-1,-1,-1
3,12,7,2,4,-1,-1,-1,0,-1,-1,-1
7,12,8,4,3,-1,-1,-1,0,-1,-1,-1
3,8,5,3,5,-1,-1,-1,0,-1,-1,-1
3,1,12,2,3,-1,-1,-1,0,-1,-1,-1
6,5,12,3,2,-1,-1,-1,0,-1,-1,-1
3,12,10,2,3,-1,-1,-1,0,-1,-1,-1
1,8,11,5,2,-1,-1,-1,0,-1,-1,-1
6,1,10,3,5,-1,-1,-1,0,-1,-1,-1
2,5,8,2,5,-1,-1,-1,0,-1,-1,-1
6,2,8,2,4,-1,-1,-1,0,-1,-1,-1
11,5,3,3,2,-1,-1,-1,0,-1,-1,-1
11,7,12,3,4,-1,-1,-1,0,-1,-1,-1
11,8,4,2,4,-1,-1,-1,0,-1,-1,-1
8,2,5,4,2,-1,-1,-1,0,-1,-1,-1
1,8,2,5,4,-1,-1,-1,0,-1,-1,-1
2,10,7,4,2,-1,-1,-1,0,-1,-1,-1
5,10,11,5,2,-1,-1,-1,0,-1,-1,-1
3,5,8,2,5,-1,-1,-1,0,-1,-1,-1
5,8,12,5,3,-1,-1,-1,0,-1,-1,-1
7,12,1,4,3,-1,-1,-1,0,-1,-1,-1
9,4,8,3,4,-1,-1,-1,0,-1,-1,-1
1,10,12,5,3,-1,-1,-1,0,-1,-1,-1
12,5,8,2,5,-1,-1,-1,0,-1,-1,-1
7,10,1,2,5,-1,-1,-1,0,-1,-1,-1
11,6,12,2,3,-1,-1,-1,0,-1,-1,-1
7,12,2,4,2,-1,-1,-1,0,-1,-1,-1
10,1,9,5,4,-1,-1,-1,0,-1,-1,-1
10,1,7,5,4,-1,-1,-1,0,-1,-1,-1
4,1,6,2,3,-1,-1,-1,0,-1,-1,-1
4,10,5,4,5,-1,-1,-1,0,-1,-1,-1
3,8,1,3,5,-1,-1,-1,0,-1,-1,-1
10,5,3,5,2,-1,-1,-1,0,-1,-1,-1
2,5,11,2,3,-1,-1,-1,0,-1,-1,-1
11,1,10,3,5,-1,-1,-1,0,-1,-1,-1
8,1,5,5,3,-1,-1,-1,0,-1,-1,-1
9,1,3,4,2,-1,-1,-1,0,-1,-1,-1
7,5,2,4,2,-1,-1,-1,0,-1,-1,-1
12,1,8,3,5,-1,-1,-1,0,-1,-1,-1
11,1,7,3,4,-1,-1,-1,0,-1,-1,-1
11,5,9,3,4,-1,-1,-1,0,-1,-1,-1
2,10,5,4,5,-1,-1,-1,0,-1,-1,-1
5,7,3,4,2,-1,-1,-1,0,-1,-1,-1
3,1,10,2,5,-1,-1,-1,0,-1,-1,-1
2,7,10,3,2,-1,-1,-1,0,-1,-1,-1
10,1,5,5,3,-1,-1,-1,0,-1,-1,-1
6,2,9,2,3,-1,-1,-1,0,-1,-1,-1
8,6,5,2,3,-1,-1,-1,0,-1,-1,-1
8,2,11,4,2,-1,-1,-1,0,-1,-1,-1
8,5,7,5,4,-1,-1,-1,0,-1,-1,-1
10,7,5,2,4,-1,-1,-1,0,-1,-1,-1
12,2,10,2,4,-1,-1,-1,0,-1,-1,-1
4,8,1,4,5,-1,-1,-1,0,-1,-1,-1
4,8,5,4,5,-1,-1,-1,0,-1,-1,-1
1,8,12,5,3,-1,-1,-1,0,-1,-1,-1
1,5,7,3,4,-1,-1,-1,0,-1,-1,-1
6,10,5,2,5,-1,-1,-1,0,-1,-1,-1
12,1,9,3,4,-1,-1,-1,0,-1,-1,-1
4,10,1,4,5,-1,-1,-1,0,-1,-1,-1
11,4,9,2,3,-1,-1,-1,0,-1,-1,-1
1,12,5,3,2,-1,-1,-1,0,-1,-1,-1
3,8,4,3,4,-1,-1,-1,0,-1,-1,-1
1,10,6,5,2,-1,-1,-1,0,-1,-1,-1
2,10,1,4,5,-1,-1,-1,0,-1,-1,-1
10,5,7,5,4,-1,-1,-1,0,-1,-1,-1
9,5,6,4,3,-1,-1,-1,0,-1,-1,-1
